Year,District,Tree Cover (%)
2017,Baran,4.893159108977464
2018,Baran,3.314056181793093
2019,Baran,6.482267600439644
2020,Baran,7.883772736286256
2000,Jaipur,2.4022395965230006
2001,Jaipur,1.9194167811260063
2002,Jaipur,1.658871199315796
2003,Jaipur,1.7854706719447657
2004,Jaipur,2.066873956714205
2005,Jaipur,2.6914001546701063
2006,Jaipur,2.2976578139488493
2007,Jaipur,2.1298445409805757
2008,Jaipur,2.689895492773095
2009,Jaipur,2.2438942740240546
2010,Jaipur,1.837620929409565
2011,Jaipur,1.7961648037943372
2012,Jaipur,2.6450101161125232
2013,Jaipur,3.3447826477760367
2014,Jaipur,3.0538142501662473
2015,Jaipur,2.5346359852415428
2016,Jaipur,2.4552196438623617
2017,Jaipur,2.9977226069275758
2018,Jaipur,2.2608114428317903
2019,Jaipur,3.081208929059314
2020,Jaipur,3.8922874987332117
2000,Udaipur,2.842991220540459
2001,Udaipur,2.686574248546224
2002,Udaipur,4.455854362047549
2003,Udaipur,3.0353800686317056
2004,Udaipur,4.41557111665285
2005,Udaipur,5.232349110843654
2006,Udaipur,5.386730253932813
2007,Udaipur,3.5763607011781926
2008,Udaipur,4.358288699900857
2009,Udaipur,4.144236233040256
2010,Udaipur,2.9776984133442626
2011,Udaipur,2.9786152378776967
2012,Udaipur,4.698377496275601
2013,Udaipur,6.190071356434489
2014,Udaipur,5.740720212006809
2015,Udaipur,5.779943731990076
2016,Udaipur,3.041184215437002
2017,Udaipur,4.300352250313515
2018,Udaipur,3.1940424855464506
2019,Udaipur,5.48829966615774
2020,Udaipur,7.261956531194474
2000,Dausa,3.1642980940085064
2001,Dausa,2.2184570128657084
2002,Dausa,1.6066423675929196
2003,Dausa,1.6411183079877216
2004,Dausa,1.780029659282612
2005,Dausa,3.1462358095150074
2006,Dausa,2.573131993524022
2007,Dausa,2.1328305910844807
2008,Dausa,2.663507787079867
2009,Dausa,1.6986335111027966
2010,Dausa,2.1321067199772648
2011,Dausa,1.7689403425756416
2012,Dausa,3.7115643267573555
2013,Dausa,3.7370161692886676
2014,Dausa,3.174637062443592
2015,Dausa,2.605403041959014
2016,Dausa,2.447910550907202
2017,Dausa,3.296154616925212
2018,Dausa,2.7906559899726777
2019,Dausa,2.699524018310534
2020,Dausa,3.9454189039668375
2000,Rajsamand,2.798492667837936
2001,Rajsamand,2.669993025252754
2002,Rajsamand,3.5418225475433025
2003,Rajsamand,2.9306198731895696
2004,Rajsamand,2.7807058089405223
2005,Rajsamand,4.09960255317788
2006,Rajsamand,4.589756821011635
2007,Rajsamand,3.650771879099492
2008,Rajsamand,3.862110963080115
2009,Rajsamand,3.4628956751746185
2010,Rajsamand,2.7355309668557823
2011,Rajsamand,2.6877536589462387
2012,Rajsamand,4.906390291583771
2013,Rajsamand,4.392950549485515
2014,Rajsamand,5.011501294580206
2015,Rajsamand,4.073807751128994
2016,Rajsamand,2.910655936701616
2017,Rajsamand,4.199353972954497
2018,Rajsamand,4.200774569111226
2019,Rajsamand,5.009127913624977
2020,Rajsamand,5.879635569938288
2000,Sawai Madhopur,3.1095132991249064
2001,Sawai Madhopur,2.276132605778077
2002,Sawai Madhopur,1.9323361932002328
2003,Sawai Madhopur,1.6830641533281843
2004,Sawai Madhopur,1.9894695057064582
2005,Sawai Madhopur,2.8315672661898303
2006,Sawai Madhopur,2.7043415103268336
2007,Sawai Madhopur,2.302930087769494
2008,Sawai Madhopur,3.2920495248274757
2009,Sawai Madhopur,2.4137097729412216
2010,Sawai Madhopur,2.6318539496273945
2011,Sawai Madhopur,2.9022152246154582
2012,Sawai Madhopur,3.5092344493913563
2013,Sawai Madhopur,4.313035565957812
2014,Sawai Madhopur,3.883316978593088
2015,Sawai Madhopur,3.086642649584675
2016,Sawai Madhopur,3.174075448738483
2017,Sawai Madhopur,3.2968962525706687
2018,Sawai Madhopur,3.3331915357581297
2019,Sawai Madhopur,4.803810720386293
2020,Sawai Madhopur,5.531905678437371
2000,Karauli,3.082863881680451
2001,Karauli,2.006178605840484
