Year,Month,District,Flood Events,Flood Extent (sq km)
2000,8,Idukki,5663604,0.0
2000,9,Idukki,5663604,4112.35908352941
2000,10,Idukki,5663604,5059.557839999998
2000,11,Idukki,5663604,4636.818190588236
2000,12,Idukki,5663604,6.644699999999999
2001,1,Idukki,5663604,5084.03998235294
2001,2,Idukki,5663604,0.0
2001,3,Idukki,5663604,4821.47582117647
2001,4,Idukki,5663604,0.0
2001,5,Idukki,5663604,989.2949929411749
2001,6,Idukki,5663604,0.0
2001,7,Idukki,5663604,272.43841058823534
2001,8,Idukki,5663604,1588.0253717647063
2001,9,Idukki,5663604,2869.290557647056
2001,10,Idukki,5663604,1759.3918552941182
2001,11,Idukki,5663604,4710.820761176471
2001,12,Idukki,5663604,508.2447352941161
2002,1,Idukki,5663604,313.67088705882287
2002,2,Idukki,5663604,5076.415076470586
2002,3,Idukki,5663604,338.8842741176461
2002,4,Idukki,5663604,422.3863517647045
2002,5,Idukki,5663604,4197.217799999999
2002,6,Idukki,5663604,0.0
2002,7,Idukki,5663604,15.982055294117648
2002,8,Idukki,5663604,0.0153
2002,9,Idukki,5663604,4838.943518823528
2002,10,Idukki,5663604,0.1926
2002,11,Idukki,5663604,494.64754235294026
2002,12,Idukki,5663604,2689.009771764706
2003,1,Idukki,5663604,3236.5548811764693
2003,2,Idukki,5663604,4899.192063529411
2003,3,Idukki,5663604,179.24839764705882
2003,4,Idukki,5663604,231.41668235294128
2003,5,Idukki,5663604,847.7573788235298
2003,6,Idukki,5663604,0.0
2003,7,Idukki,5663604,0.0
2003,8,Idukki,5663604,3.18504
2003,9,Idukki,5663604,0.0
2003,10,Idukki,5663604,984.1004470588233
2003,11,Idukki,5663604,3782.973261176469
2003,12,Idukki,5663604,4886.343067058822
2004,1,Idukki,5663604,3321.001591764705
2004,2,Idukki,5663604,540.8029729411747
2004,3,Idukki,5663604,4056.9306847058792
2004,4,Idukki,5663604,2787.149534117644
2004,5,Idukki,5663604,417.445877647057
2004,6,Idukki,5663604,49.12403294117648
2004,7,Idukki,5663604,1.05186
2004,8,Idukki,5663604,235.5573423529411
2004,9,Idukki,5663604,1204.843559999998
2004,10,Idukki,5663604,188.602337647059
2004,11,Idukki,5663604,2322.862577647059
2004,12,Idukki,5663604,4742.400882352939
