,State,Year,Temperature (°C)
357,Karnataka,2021,30.749111220699024
358,Karnataka,2022,30.584132175335718
359,Karnataka,2023,31.328850271984113
360,Kerala,2000,29.555953689051165
361,Kerala,2001,29.281391641306545
362,Kerala,2002,29.53608343815514
363,Kerala,2003,29.786651315344546
364,Kerala,2004,29.48142998579827
365,Kerala,2005,29.582827429498884
366,Kerala,2006,29.307686724825885
367,Kerala,2007,29.508678014472157
368,Kerala,2008,29.51913196726856
369,Kerala,2009,29.771690214377408
370,Kerala,2010,29.748970920403064
371,Kerala,2011,29.486202096436124
372,Kerala,2012,29.747136917562784
373,Kerala,2013,29.644925569757255
374,Kerala,2014,29.99858892270234
375,Kerala,2015,30.146750375329503
376,Kerala,2016,30.099059119496822
377,Kerala,2017,29.41791015080822
378,Kerala,2018,29.596818597416622
379,Kerala,2019,30.468802637451876
380,Kerala,2020,30.54946858727259
381,Kerala,2021,30.063466179752556
382,Kerala,2022,29.871376127679696
383,Kerala,2023,30.38111524988158
384,Lakshadweep,2000,30.05319607843138
385,Lakshadweep,2001,29.957019607843137
386,Lakshadweep,2002,30.119823529411768
387,Lakshadweep,2003,30.322921568627454
388,Lakshadweep,2004,30.001882352941173
389,Lakshadweep,2005,29.98917647058824
390,Lakshadweep,2006,29.834078431372554
391,Lakshadweep,2007,29.9795294117647
392,Lakshadweep,2008,29.772784313725502
393,Lakshadweep,2009,30.11978431372549
394,Lakshadweep,2010,30.009607843137257
395,Lakshadweep,2011,29.930274509803922
396,Lakshadweep,2012,29.93596078431373
397,Lakshadweep,2013,30.029529411764706
398,Lakshadweep,2014,30.33925490196079
399,Lakshadweep,2015,30.522921568627453
400,Lakshadweep,2016,30.936235294117658
401,Lakshadweep,2017,30.699039215686277
402,Lakshadweep,2018,30.59850980392157
403,Lakshadweep,2019,30.578039215686278
404,Lakshadweep,2020,30.714921568627467
405,Lakshadweep,2021,30.4258431372549
406,Lakshadweep,2022,30.28333333333333
407,Lakshadweep,2023,30.74656862745099
408,Maharashtra,2000,32.54514258274871
409,Maharashtra,2001,32.50913139711338
410,Maharashtra,2002,32.78573110233958
411,Maharashtra,2003,33.01982219800899
412,Maharashtra,2004,32.61829276675893
413,Maharashtra,2005,32.398815711254386
414,Maharashtra,2006,32.45494514512349
415,Maharashtra,2007,32.76416062376602
416,Maharashtra,2008,32.527348536175786
417,Maharashtra,2009,33.363354858422085
418,Maharashtra,2010,33.20205767356564
419,Maharashtra,2011,32.48513818094214
420,Maharashtra,2012,32.722655261899504
421,Maharashtra,2013,32.424861922873816
422,Maharashtra,2014,33.04097014789467
423,Maharashtra,2015,33.017916485787225
424,Maharashtra,2016,31.791446798356493
425,Maharashtra,2017,31.95878898737044
426,Maharashtra,2018,31.8888563848397
427,Maharashtra,2019,33.16556317246963
428,Maharashtra,2020,32.90609302792834
429,Maharashtra,2021,32.80539959808769
430,Maharashtra,2022,32.76340943379293
431,Maharashtra,2023,32.82569389142376
432,Manipur,2000,24.179671831073037
433,Manipur,2001,24.8858926452315
434,Manipur,2002,24.546165976752086
435,Manipur,2003,24.5735705978666
436,Manipur,2004,24.520707664277126
437,Manipur,2005,24.867302878836746
438,Manipur,2006,25.250585580320198
439,Manipur,2007,24.779281175963327
440,Manipur,2008,24.497331102228475
441,Manipur,2009,25.73329343772254
442,Manipur,2010,25.397209043682736
443,Manipur,2011,24.953703197832226
444,Manipur,2012,24.69139618543762
445,Manipur,2013,24.83311206516114
446,Manipur,2014,25.032332809015212
447,Manipur,2015,24.51439109218261
448,Manipur,2016,24.733457128312228
449,Manipur,2017,24.68254857142373
450,Manipur,2018,24.547053654090636
451,Manipur,2019,25.37493708606186
452,Manipur,2020,25.25713773557259
453,Manipur,2021,25.895178962731073
454,Manipur,2022,25.450775656223463
455,Manipur,2023,25.855248093946916
456,Meghalaya,2000,25.229753154561667
457,Meghalaya,2001,26.261666071427065
458,Meghalaya,2002,25.748473564286336
459,Meghalaya,2003,25.70140819948768
460,Meghalaya,2004,25.836820313404075
461,Meghalaya,2005,26.01302363392515
462,Meghalaya,2006,26.6826315750039
463,Meghalaya,2007,26.471961718186158
464,Meghalaya,2008,25.831541662191928
465,Meghalaya,2009,27.22988123513456
466,Meghalaya,2010,26.773690410482185
467,Meghalaya,2011,26.181202729444067
468,Meghalaya,2012,25.71172971627463
469,Meghalaya,2013,25.835004562115945
470,Meghalaya,2014,25.80079533165665
471,Meghalaya,2015,25.517348736302203
472,Meghalaya,2016,25.752624735992487
473,Meghalaya,2017,25.59670478697496
474,Meghalaya,2018,25.463395346475224
475,Meghalaya,2019,26.30185550330208
476,Meghalaya,2020,26.248653114351708
477,Meghalaya,2021,26.626099111969086
478,Meghalaya,2022,26.402820041175563
479,Meghalaya,2023,26.797751513698397
480,Mizoram,2000,25.857463415096493
481,Mizoram,2001,26.370604508437218
482,Mizoram,2002,26.038320542608396
483,Mizoram,2003,26.01825467533941
484,Mizoram,2004,26.061595554929728
485,Mizoram,2005,26.309909268897734
486,Mizoram,2006,26.70695113166776
487,Mizoram,2007,26.150093718914512
