Month,Tree Cover %,Year
4,99.8006555727032,2019
5,99.48900393273482,2019
6,99.74404966892106,2019
7,99.8006555727032,2019
8,99.74404966892106,2019
9,99.8006555727032,2019
10,97.80587346794402,2019
11,93.10574947455484,2019
12,85.59731210331036,2019
1,79.2515058534089,2020
2,87.65973393266631,2020
3,96.34664002828829,2020
4,98.49135010461978,2020
5,99.74404966892106,2020
6,99.31786353518935,2020
7,99.03606538725363,2020
8,99.40516955064878,2020
9,96.4620177985637,2020
10,44.074627340487,2020
11,0.0,2020
12,0.0,2020
1,0.0,2021
2,3.4282396091350296,2021
3,38.52091391020892,2021
4,81.44422935401448,2021
5,86.69676774973742,2021
6,95.53774178559516,2021
7,97.75942680469883,2021
8,81.8935253164323,2021
9,25.925624464822338,2021
10,0.0,2021
11,0.0,2021
12,0.0,2021
1,0.0,2022
2,0.0,2022
3,0.0,2022
4,0.0,2022
5,0.0,2022
6,,2022
7,,2022
8,,2022
9,,2022
10,,2022
11,,2022
12,,2022
1,,2023
2,,2023
3,,2023
4,,2023
5,,2023
6,,2023
7,,2023
8,,2023
9,,2023
10,,2023
11,,2023
12,,2023
