year,rainfall
2006,3.409527211572453
2007,3.966517548796616
2008,3.5663384143040178
2009,4.222127332574415
2010,4.034652642088151
2011,3.761503343003688
2012,3.5204204589319996
2013,3.300095193158311
2014,3.558479409620399
2015,3.356728112148484
2016,3.620424537035928
2017,3.418890740657873
2018,3.0807447843565674
2019,2.9252138570623627
2020,3.427379802798508
2021,3.502836428442966
2022,3.4530629647482276
2023,2.816233941503118
2000,3.4312897143808385
2001,3.0158329353392848
2002,2.640958052182585
2003,2.804065173317845
2004,3.5455465763311422
2005,3.9287412418253296
2006,3.360393021794345
2007,3.66946839851079
2008,3.4431818477093836
2009,2.992962672841188
2010,4.393516089326424
2011,3.6512251490194982
2012,3.167335024070906
2013,2.805399224942876
2014,2.9803885184224344
2015,3.843720118500947
2016,2.058613374664223
2017,3.2910067682071604
2018,3.090757489566739
2019,3.216021318261982
2020,3.423221213192606
2021,4.502117767845526
2022,3.546292436743128
2023,3.5221610810741786
2000,8.385535071290974
2001,7.982285848919728
2002,7.514373247120233
2003,7.607326251641977
2004,9.966212685361317
2005,6.587357870104276
2006,7.163091026222842
2007,9.629831063733254
2008,6.614326606293422
2009,7.504790085105573
2010,8.284522316354657
2011,7.397191492110948
2012,7.887054959352904
2013,7.117634731376284
2014,7.212280345371075
2015,7.885978349037131
2016,8.169872392453666
2017,10.454703387961516
2018,6.655580549139669
2019,7.4432190543353
2020,7.629394505224159
2021,6.786501565187033
2022,6.596716231374881
2023,7.602236548031033
2000,4.7552327794798375
2001,4.976934230266614
2002,4.860985055910323
2003,4.763548383054667
2004,4.697546525699735
2005,4.801296608446876
2006,4.587757969348613
2007,5.747690798667644
2008,5.121704564833761
2009,4.65640085505001
2010,4.205301164273736
2011,5.027673278779548
2012,4.47476898488631
2013,5.281727039960626
2014,4.279857468859612
2015,5.101221559191859
2016,5.363151250178146
2017,6.129430897610368
2018,4.39395130283034
2019,4.885985162660509
2020,5.765298136120648
2021,6.118095118305232
2022,4.367964841472098
2023,4.254768557181563
2000,8.001507522955235
2001,7.891155677534088
2002,7.396870473457412
2003,7.0676804508484405
2004,8.390550626180417
2005,7.48261176325688
2006,7.501116706287335
2007,7.838900156163334
2008,7.500267429551552
2009,6.64504008377157
2010,8.57120965942041
2011,6.880665497318073
2012,8.425345296181206
2013,7.485863890300419
2014,6.549076121609265
2015,7.569929723060673
2016,7.513199296205478
2017,7.664964042840929
2018,6.226065026756367
2019,7.051803102563229
2020,7.126292770448618
2021,6.081712637650126
2022,6.992148667515594
2023,6.976029830987645
2000,0.7784353550685044
2001,0.9019749228511428
2002,0.7648487729549627
2003,0.8706090099623298
2004,0.676294571104141
2005,0.77382499885472
2006,0.7993075133240529
2007,0.8894940168821664
2008,1.0559748324124796
2009,2.215193280886428
2010,3.835706749989637
2011,3.601854681370194
2012,3.199049622976633
2013,3.4620929028769156
2014,2.8685304021682976
2015,3.192770528553937
2016,2.432367804604325
2017,2.976544903272474
2018,4.033754378788442
2019,3.207991657056856
2020,2.9255328722491973
2021,2.644448857609946
2022,2.84933389054755
2023,3.776952290959359
2000,4.327388688269411
2001,3.899086657436376
2002,3.757337768697152
2003,4.327649223734778
2004,6.046420431893786
2005,6.578789922135952
2006,6.814173017505697
2007,6.684344492355746
2008,5.872957418790194
2009,4.407244190966623
2010,6.720308105440072
2011,6.218759208800269
2012,4.352911692362042
2013,5.988252140801187
2014,4.999652341788715
2015,3.909141066051327
2016,5.126967676071914
2017,6.168631063328624
2018,5.019558008694872
2019,8.08204336539613
2020,7.72902359323532
2021,5.330227852038359
2022,7.379495851436841
2023,5.292339162971051
2000,1.7348838859949225
2001,1.5667911198198263
2002,0.984227814978784
2003,2.3391428426853103
2004,2.008325236439955
2005,2.3376469291443076
2006,2.6000460631604048
2007,3.631302880995516
2008,2.601983586287908
2009,3.545683688173169
2010,3.575384580453168
2011,2.8408564287842135
2012,1.301267303097703
2013,2.6018209112937183
2014,2.126952850082651
2015,1.9437365607897903
2016,1.799009742718292
2017,2.323112276898668
2018,2.2787604032319813
2019,3.360373311761746
2020,3.899127000597833
2021,2.615461448795001
2022,2.792300481247531
2023,2.278318759775221
2000,4.8877568820473565
2001,4.376972591090321
2002,4.031858580487635
2003,4.3468483493748975
2004,5.269551631332583
2005,5.711180705696058
2006,5.062300643985443
2007,5.3679428789619665
2008,5.37451125390773
2009,5.393954474792866
2010,6.461075385653628
2011,5.604428077564358
2012,4.60982055685578
2013,4.831019104770932
2014,5.288413609748363
2015,5.688587908817426
2016,3.183706641049285
2017,5.290443160072665
2018,5.2911103297275
2019,5.163150732892418
2020,5.95485518695403
2021,6.260005057738851
2022,5.328584285059421
2023,4.8259282668835
