Month,State,Temperature (°C),Year
6,Assam,30.454038392886034,2012
7,Assam,31.697289013419947,2012
8,Assam,32.33263110883601,2012
9,Assam,30.39047881743837,2012
10,Assam,30.10457801114853,2012
11,Assam,27.746654114358112,2012
12,Assam,23.802600046630246,2012
1,Assam,23.66518897155833,2013
2,Assam,28.425004827519786,2013
3,Assam,30.66319630808304,2013
4,Assam,29.69832754626455,2013
5,Assam,29.848862952605288,2013
6,Assam,33.097973641931794,2013
7,Assam,31.93384127683116,2013
8,Assam,32.18720292225566,2013
9,Assam,32.45350577269174,2013
10,Assam,29.834352882177782,2013
11,Assam,27.9287744251634,2013
12,Assam,24.13008849242823,2013
1,Assam,24.1444086604166,2014
2,Assam,24.891895671723745,2014
3,Assam,29.7402670847033,2014
4,Assam,33.163414840024934,2014
5,Assam,30.732617824176028,2014
6,Assam,31.857072619660435,2014
7,Assam,32.57335409895991,2014
8,Assam,31.202071933943024,2014
9,Assam,31.18395327748926,2014
10,Assam,31.69893911209149,2014
11,Assam,28.74468615309571,2014
12,Assam,25.874417127541314,2014
1,Assam,24.72600497302795,2015
2,Assam,26.676157521253952,2015
3,Assam,30.442354714679663,2015
4,Assam,28.406169942240485,2015
5,Assam,30.2493240675047,2015
6,Assam,30.717474545350896,2015
7,Assam,32.43538087082125,2015
8,Assam,31.06812680498029,2015
9,Assam,31.880604092219873,2015
10,Assam,31.317473797104963,2015
11,Assam,28.04461311268637,2015
12,Assam,23.256962783147156,2015
1,Assam,22.09689417460935,2016
2,Assam,25.385694092376337,2016
3,Assam,28.233143354786677,2016
4,Assam,28.604063182100404,2016
5,Assam,29.250070544516475,2016
6,Assam,31.6393232204773,2016
7,Assam,30.498052198471814,2016
8,Assam,32.96332307267824,2016
9,Assam,31.03865674608832,2016
10,Assam,30.57588660461337,2016
11,Assam,27.7282180389127,2016
12,Assam,25.52060318207427,2016
1,Assam,24.202811009118797,2017
2,Assam,26.212410976781925,2017
3,Assam,26.225198127767726,2017
4,Assam,27.992477239655376,2017
5,Assam,29.914607569738802,2017
6,Assam,30.794725729133322,2017
7,Assam,31.224461775826747,2017
8,Assam,31.333760692565605,2017
9,Assam,31.068976185845962,2017
10,Assam,29.56553678356019,2017
11,Assam,27.150554648008594,2017
12,Assam,24.409807537468573,2017
1,Assam,22.023089319457522,2018
2,Assam,23.811162907296854,2018
3,Assam,27.085922953074522,2018
4,Assam,28.689010244328994,2018
5,Assam,29.564826567973284,2018
6,Assam,31.44178563122872,2018
7,Assam,31.623486120983486,2018
8,Assam,32.11917813462783,2018
9,Assam,31.236588497736467,2018
10,Assam,28.961174722635544,2018
11,Assam,26.004274968641152,2018
12,Assam,23.443520250512826,2018
1,Assam,23.79279573842734,2019
2,Assam,24.262619005562275,2019
3,Assam,27.235274488867784,2019
4,Assam,28.70179369240264,2019
5,Assam,28.723261686128257,2019
6,Assam,31.623479512872674,2019
7,Assam,30.390016605091947,2019
8,Assam,33.177765589286096,2019
9,Assam,30.807315100144415,2019
10,Assam,29.106153984654046,2019
11,Assam,27.550545020599927,2019
12,Assam,22.724850614435677,2019
1,Assam,21.60121447108051,2020
2,Assam,24.472667077315403,2020
