Year,District,Tree Cover (%)
2007,Nalbari,21.046903393799866
2008,Nalbari,20.780349090026704
2009,Nalbari,20.738029468598473
2010,Nalbari,20.073305582635218
2011,Nalbari,20.394453647022107
2012,Nalbari,17.294226177849445
2013,Nalbari,23.767998058764878
2014,Nalbari,14.173716974563412
2015,Nalbari,21.051737548410138
2016,Nalbari,19.564346496561317
2017,Nalbari,19.515589578689372
2018,Nalbari,24.716097452785768
2019,Nalbari,24.890379332955476
2020,Nalbari,18.60123382803145
2000,North Cachar Hills,53.67366759639726
2001,North Cachar Hills,49.39401629228592
2002,North Cachar Hills,54.04371645594452
2003,North Cachar Hills,57.5806014830971
2004,North Cachar Hills,57.494691374854476
2005,North Cachar Hills,55.118689245634215
2006,North Cachar Hills,53.09303491791455
2007,North Cachar Hills,53.76815679630243
2008,North Cachar Hills,49.28953104499839
2009,North Cachar Hills,50.562903240930005
2010,North Cachar Hills,49.63590927876978
2011,North Cachar Hills,53.96766066344829
2012,North Cachar Hills,47.05923354560613
2013,North Cachar Hills,51.629756755333666
2014,North Cachar Hills,48.52492889976575
2015,North Cachar Hills,51.22416949949613
2016,North Cachar Hills,54.03721807846513
2017,North Cachar Hills,57.510967432017466
2018,North Cachar Hills,57.82874490685739
2019,North Cachar Hills,61.70691520553237
2020,North Cachar Hills,51.59783630248485
2000,Sibsagar,19.27910150368928
2001,Sibsagar,17.396467476024352
2002,Sibsagar,20.392588008324523
2003,Sibsagar,20.319521646676993
2004,Sibsagar,21.23828665225953
2005,Sibsagar,22.46510910607365
2006,Sibsagar,20.9173270677393
2007,Sibsagar,22.377990457715224
2008,Sibsagar,22.970626363992423
2009,Sibsagar,24.477295770857214
2010,Sibsagar,21.873208656539045
2011,Sibsagar,22.718173842255165
2012,Sibsagar,19.783156841479766
2013,Sibsagar,22.086629010037928
2014,Sibsagar,18.713434343165183
2015,Sibsagar,26.23404145471212
2016,Sibsagar,22.757044130069204
2017,Sibsagar,22.334193475752535
2018,Sibsagar,25.980609323246544
2019,Sibsagar,29.75220670331513
2020,Sibsagar,22.748466466103693
2000,Sonitpur,16.537561475194213
2001,Sonitpur,16.7122299319959
2002,Sonitpur,17.57339290468825
2003,Sonitpur,17.861326245628792
2004,Sonitpur,16.80499465468277
2005,Sonitpur,18.386592075010817
2006,Sonitpur,17.217385674549867
2007,Sonitpur,20.78999964391528
2008,Sonitpur,17.61843033809434
2009,Sonitpur,19.627710796084
2010,Sonitpur,16.11442357572179
2011,Sonitpur,17.136590456443937
2012,Sonitpur,15.227357665249588
2013,Sonitpur,18.582095736613795
2014,Sonitpur,14.849587589152648
2015,Sonitpur,21.8416238353399
2016,Sonitpur,17.708327971830414
2017,Sonitpur,18.326910252892972
2018,Sonitpur,19.054440902480533
2019,Sonitpur,24.298933526266445
2020,Sonitpur,18.277893370430892
2000,Bongaigaon,17.777004627533525
2001,Bongaigaon,20.698431028974493
2002,Bongaigaon,19.63699988436064
2003,Bongaigaon,24.86021046359613
2004,Bongaigaon,22.93835678459918
2005,Bongaigaon,24.64178813697184
2006,Bongaigaon,24.026143114461405
2007,Bongaigaon,23.561946425666434
2008,Bongaigaon,26.669452986728928
2009,Bongaigaon,25.74135007947754
2010,Bongaigaon,25.996406164556717
2011,Bongaigaon,25.22881928315369
2012,Bongaigaon,22.51668636455398
2013,Bongaigaon,29.831870201702444
2014,Bongaigaon,22.836817605403276
2015,Bongaigaon,25.882847158114267
2016,Bongaigaon,24.80684937682157
2017,Bongaigaon,24.92862975223778
2018,Bongaigaon,30.81807423261538
2019,Bongaigaon,31.571390043648908
2020,Bongaigaon,26.66059971736961
2000,Dhemaji,12.811069952095176
2001,Dhemaji,14.931461525839424
2002,Dhemaji,15.510745189550084
2003,Dhemaji,14.04916417026183
2004,Dhemaji,17.47036078918821
2005,Dhemaji,18.369015707384087
2006,Dhemaji,18.735558122548646
2007,Dhemaji,18.61619899311268
2008,Dhemaji,15.611070532935855
2009,Dhemaji,19.77814608723939
2010,Dhemaji,16.989909708316304
2011,Dhemaji,18.37849176004893
2012,Dhemaji,15.62888491658403
2013,Dhemaji,16.78432913627539
2014,Dhemaji,16.625287697649178
2015,Dhemaji,21.876065298109214
2016,Dhemaji,16.92051848743276
2017,Dhemaji,18.819832296774734
2018,Dhemaji,19.8970096869704
2019,Dhemaji,21.213996953490657
2020,Dhemaji,17.148768908179253
2000,Hailakandi,31.292455849970583
2001,Hailakandi,31.87217531172763
2002,Hailakandi,32.22332959442389
2003,Hailakandi,34.822556960573365
2004,Hailakandi,33.12257910060776
2005,Hailakandi,32.82088712183555
2006,Hailakandi,32.96950943818991
2007,Hailakandi,32.017751372748776
2008,Hailakandi,29.494749744255916
2009,Hailakandi,36.36986461235596
2010,Hailakandi,31.23261507149492
2011,Hailakandi,31.36126400924011
2012,Hailakandi,30.955541877341503
2013,Hailakandi,33.9080068233985
2014,Hailakandi,31.19791857002048
2015,Hailakandi,32.24975092461312
2016,Hailakandi,32.54044757546612
2017,Hailakandi,32.126830387330536
2018,Hailakandi,34.52466079733463
2019,Hailakandi,38.016525668435634
2020,Hailakandi,32.6110095989052
2000,Jorhat,17.63883563750747
2001,Jorhat,17.845952075758547
2002,Jorhat,21.705431262790675
2003,Jorhat,20.082446483751788
2004,Jorhat,21.403388500504132
2005,Jorhat,21.18764934204427
2006,Jorhat,21.264770724722204
2007,Jorhat,24.220919129594087
2008,Jorhat,20.100951051508158
2009,Jorhat,24.130606936744048
2010,Jorhat,20.884659732013404
2011,Jorhat,20.8293355317461
2012,Jorhat,20.4118647562451
2013,Jorhat,19.822725947298178
2014,Jorhat,16.602594522962924
2015,Jorhat,24.300513726623254
2016,Jorhat,21.91663402633161
