State,Year,Month,Rainfall (mm)
Assam,2006,2,1.569140841102914
Assam,2006,3,1.3985870467186907
Assam,2006,4,7.46098619140897
Assam,2006,5,10.55785344652602
Assam,2006,6,15.148890746458502
Assam,2006,7,12.926375847483277
Assam,2006,8,8.638432775813943
Assam,2006,9,8.764541134741348
Assam,2006,10,3.6807205927076647
Assam,2006,11,0.9391638499252314
Assam,2006,12,0.2335335984060229
Assam,2007,1,0.303366226152565
Assam,2007,2,3.074116062460723
Assam,2007,3,1.2857459173909855
Assam,2007,4,9.769396411302884
Assam,2007,5,13.709242567107802
Assam,2007,6,15.349735478965455
Assam,2007,7,16.642752394306694
Assam,2007,8,10.702250335140969
Assam,2007,9,12.820792351151324
Assam,2007,10,5.207249095842544
Assam,2007,11,1.013932846109934
Assam,2007,12,0.23854575089856145
Assam,2008,1,1.361347676756335
Assam,2008,2,0.7876041972814879
Assam,2008,3,4.158771395331737
Assam,2008,4,5.414437602000776
Assam,2008,5,9.18917308095884
Assam,2008,6,13.808916664995397
Assam,2008,7,14.66139301916644
Assam,2008,8,13.835183956688525
Assam,2008,9,8.92228552417705
Assam,2008,10,5.167668491454948
Assam,2008,11,0.3420606307237021
Assam,2008,12,0.13074052957618312
Assam,2009,1,0.42755776965545894
Assam,2009,2,0.8088075306534263
Assam,2009,3,2.516302574475784
Assam,2009,4,5.664713128122022
Assam,2009,5,10.284905666078608
Assam,2009,6,12.729176767289651
Assam,2009,7,13.051562674537113
Assam,2009,8,15.120005821892184
Assam,2009,9,7.621550464727985
Assam,2009,10,5.262308348188786
Assam,2009,11,0.43939553286848804
Assam,2009,12,0.21408521510590398
Assam,2010,1,0.2820989491525763
Assam,2010,2,0.5524608553218392
Assam,2010,3,4.369969111278769
Assam,2010,4,12.984946803290029
Assam,2010,5,15.294709784745292
Assam,2010,6,19.57721410669111
Assam,2010,7,13.577117171547794
Assam,2010,8,12.971535005248105
Assam,2010,9,13.826650363699013
Assam,2010,10,4.119078200181185
Assam,2010,11,0.5955361976841022
Assam,2010,12,0.24166135520065604
Assam,2011,1,0.5034026937886044
Assam,2011,2,0.7498236211610038
Assam,2011,3,2.9788220655721114
Assam,2011,4,4.417133878798409
Assam,2011,5,10.472640242982672
Assam,2011,6,13.80848461992354
Assam,2011,7,14.97318478865959
Assam,2011,8,14.230791033748897
Assam,2011,9,10.808256592128219
Assam,2011,10,1.2091380899455526
Assam,2011,11,0.2666067528686828
Assam,2011,12,0.2034999955137218
Assam,2012,1,0.5520997817844159
Assam,2012,2,0.5231978952209709
Assam,2012,3,1.8961890202147482
Assam,2012,4,9.504587492096606
Assam,2012,5,10.255914127290707
Assam,2012,6,20.467260914309733
Assam,2012,7,15.305917833522546
Assam,2012,8,13.359117293681683
Assam,2012,9,12.866935705679598
Assam,2012,10,5.794918008029137
Assam,2012,11,0.5827339887068919
Assam,2012,12,0.18073346459018347
Assam,2013,1,0.27946229171677467
Assam,2013,2,0.746246780181098
Assam,2013,3,2.3127434236303737
