Year,Month,District,Temperature (°C)
1992,9,Cachar,31.288942097671985
1992,10,Cachar,29.210086969972906
1992,11,Cachar,26.940390497622897
1992,12,Cachar,22.52293475206616
1993,1,Cachar,21.754603688121534
1993,2,Cachar,24.507229062110547
1993,3,Cachar,27.32536699734989
1993,4,Cachar,29.442024399660486
1993,5,Cachar,28.791199679730433
1993,6,Cachar,29.312185311336545
1993,7,Cachar,30.775614022105856
1993,8,Cachar,30.199243968236438
1993,9,Cachar,30.305083287256537
1993,10,Cachar,30.012671598679116
1993,11,Cachar,27.339356374472636
1993,12,Cachar,25.127627858844978
1994,1,Cachar,24.58586841414032
1994,2,Cachar,24.346466493764826
1994,3,Cachar,28.02149218197137
1994,4,Cachar,30.038353076897145
1994,5,Cachar,31.48161493708026
1994,6,Cachar,30.11810264963087
1994,7,Cachar,31.589519261316067
1994,8,Cachar,31.033597633067917
1994,9,Cachar,31.65949322585504
1994,10,Cachar,29.685589778523862
1994,11,Cachar,27.156417894712977
1994,12,Cachar,24.606691529656278
1995,1,Cachar,23.21402388961252
1995,2,Cachar,24.673882980228722
1995,3,Cachar,29.39768566815715
1995,4,Cachar,31.616191529190967
1995,5,Cachar,31.887398037885113
1995,6,Cachar,30.649857560276335
1995,7,Cachar,30.603111373938777
1995,8,Cachar,30.7712807117377
1995,9,Cachar,30.534527819906955
1995,10,Cachar,30.80547777696143
1995,11,Cachar,27.082312598349002
1995,12,Cachar,23.634019535672913
1996,1,Cachar,23.07185196495358
1996,2,Cachar,26.778456433449602
1996,3,Cachar,29.344231582195402
1996,4,Cachar,31.056071358172453
1996,5,Cachar,30.372422718558543
1996,6,Cachar,30.711326039468183
1996,7,Cachar,30.516076302654685
1996,8,Cachar,30.080623647701106
1996,9,Cachar,31.79175684315043
1996,10,Cachar,30.10536799049441
1996,11,Cachar,28.10659907398481
1996,12,Cachar,25.62621933340731
1997,1,Cachar,22.775489305977672
1997,2,Cachar,23.446345825276758
1997,3,Cachar,29.170214108879595
1997,4,Cachar,28.26553068509643
1997,5,Cachar,31.104600845579323
1997,6,Cachar,30.10459999871612
1997,7,Cachar,30.79211995329785
1997,8,Cachar,31.232465147405502
1997,9,Cachar,29.61540219721677
1997,10,Cachar,29.805508600943913
1997,11,Cachar,26.675041818978706
1997,12,Cachar,21.998581865851698
1998,1,Cachar,21.05834612219771
1998,2,Cachar,25.30011307238245
1998,3,Cachar,26.958019440678996
1998,4,Cachar,28.966805898436334
1998,5,Cachar,31.05409458595679
1998,6,Cachar,29.7167445783023
1998,7,Cachar,29.56217392947302
1998,8,Cachar,30.422258495507133
1998,9,Cachar,31.523067456998096
1998,10,Cachar,30.985923280654376
1998,11,Cachar,27.999022578393294
1998,12,Cachar,25.210900725135343
1999,1,Cachar,23.56181759220075
1999,2,Cachar,29.044173254281375
1999,3,Cachar,30.753539499066996
1999,4,Cachar,33.14880553781359
1999,5,Cachar,29.865348125548238
1999,6,Cachar,30.279621728574906
1999,7,Cachar,30.343581860062724
1999,8,Cachar,30.40710395040563
1999,9,Cachar,31.23881863462092
1999,10,Cachar,29.254898474061452
1999,11,Cachar,27.675465337144292
1999,12,Cachar,23.305904328838068
2000,1,Cachar,22.148894644042155
2000,2,Cachar,23.523772508072344
