Year,Month,Temperature (°C)
1998,9,25.981930164706682
1998,10,24.01471774963056
1998,11,20.810370359372655
1998,12,17.404745695044905
1999,1,15.452501817386572
1999,2,19.89826662957715
1999,3,23.666311370474336
1999,4,28.218490632892944
1999,5,27.862848435869115
1999,6,27.884747959386573
1999,7,27.1279742448231
1999,8,26.1467846348862
1999,9,26.143484498052143
1999,10,23.46484594230809
1999,11,20.473812679801824
1999,12,16.947568743811132
2000,1,16.133703139170127
2000,2,16.775458238822083
2000,3,21.878628129207428
2000,4,27.188550455143115
2000,5,28.544721964156142
2000,6,27.898495199966828
2000,7,26.906315650781632
2000,8,26.686188069882583
2000,9,25.731920139304464
2000,10,25.01444848619544
2000,11,21.165242588473017
2000,12,18.11849916128121
2001,1,16.70514734076694
2001,2,20.108673827285035
2001,3,22.86203529785077
2001,4,26.444616786586515
2001,5,28.62108506734005
2001,6,27.205686646491326
2001,7,27.122490803349216
2001,8,26.787204203173527
2001,9,27.002721279542843
2001,10,24.718565375855903
2001,11,21.35048097866245
2001,12,17.787315835375388
2002,1,16.181628228227044
2002,2,19.173195510593946
2002,3,23.420123515910802
2002,4,27.20219150029864
2002,5,28.97652994554211
2002,6,28.72726342206002
2002,7,28.351614773217264
2002,8,26.749634458263625
2002,9,25.91591919171436
2002,10,24.41538269966262
2002,11,20.826856061008396
2002,12,17.921076573761308
2003,1,16.156229348611788
2003,2,18.538788325658576
2003,3,22.39565911784882
2003,4,27.29090250320193
2003,5,28.49442889468834
2003,6,28.806039143414043
2003,7,27.295395162247516
2003,8,26.96571332003723
2003,9,25.978701494740413
2003,10,24.615404666572093
2003,11,21.070077280594706
2003,12,17.366208371898345
2004,1,15.691924628817016
2004,2,19.494687605629608
2004,3,25.56936172706509
2004,4,27.296316915019094
2004,5,28.8045172233905
2004,6,27.92863540757208
2004,7,27.51622025997065
2004,8,26.729025207058942
2004,9,26.767013671412318
2004,10,23.268128030332104
2004,11,20.75886795942032
2004,12,18.036948553217872
2005,1,15.817685660945628
2005,2,18.369374760746275
2005,3,23.08303317965631
2005,4,26.282074470455527
2005,5,28.42028447577688
2005,6,29.858006868610932
2005,7,27.331213630766616
2005,8,27.10507568362249
2005,9,26.49350326558884
2005,10,24.073168974193077
2005,11,20.771166639438192
2005,12,17.587156559120626
2006,1,16.95440933591903
2006,2,21.46149647827496
2006,3,22.295636609280848
